,AcidRed87-1gL,MethyleneB-250mgL,NaCl,NaOH-1M,PCAT_Gee-T/M/W,PCAT_Gee-pt/g-c3n4,PVP-1wt,RhodamineB-1gL,SDS-1wt,Target
69,0.25,0.0,0.0,0.0,0.25,4.2,0.75,0.5,0.0,58.80180451
70,0.5,0.0,0.0,0.0,0.25,4.18,0.75,0.5,0.0,61.49300597
71,0.0,0.0,0.0,0.0,0.25,4.2,0.75,0.5,0.25,5.532790042
72,0.25,0.0,0.0,0.0,0.75,4.25,0.75,0.25,0.0,55.82564672
73,1.0,0.0,0.0,0.0,4.0,5.01,0.0,0.0,0.0,35.75726678
74,1.0,0.0,0.0,0.0,4.0,5.01,0.0,0.0,0.0,34.91415657
75,0.25,0.0,0.0,0.0,0.75,4.18,0.75,0.25,0.25,31.65953198
76,0.25,0.0,0.0,0.0,0.25,4.18,0.75,0.25,0.25,52.49660206
77,0.0,0.0,0.0,0.0,0.5,4.18,0.75,0.25,0.25,8.439324341
78,0.0,0.0,0.0,0.0,0.25,4.14,0.75,0.0,0.0,3.285049516
79,0.25,0.0,0.0,0.0,0.25,4.2,0.75,0.5,0.25,56.18698938
80,0.0,0.0,0.0,0.0,0.5,4.22,0.75,0.5,0.25,8.247660635
81,0.5,3.25,0.0,0.0,0.25,4.18,0.75,0.25,0.0,50.2101009
82,0.0,0.0,0.0,0.0,0.25,4.18,0.75,0.75,0.25,5.747339523
83,0.25,0.0,0.0,0.0,0.25,4.21,0.75,0.75,0.25,55.20385547
84,0.25,0.0,0.0,0.0,0.5,4.21,0.75,0.0,0.25,6.08354176
85,0.0,0.0,0.0,0.0,0.25,4.21,0.75,0.25,0.0,5.901868855
86,0.0,0.0,0.0,0.0,0.25,4.21,1.0,0.0,0.25,3.399287899
87,0.25,0.0,0.0,0.0,0.5,4.19,1.0,0.25,0.25,53.92829823
88,1.0,0.0,0.0,0.0,4.0,4.99,0.0,0.0,0.0,35.56170288
89,1.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,34.95038258
90,0.25,0.0,0.0,0.25,0.5,4.0,0.5,0.25,0.0,10.0783994560835
91,0.25,0.0,0.0,0.0,0.5,4.0,0.5,0.25,0.0,53.020975116576
92,0.25,0.0,0.0,0.5,0.5,3.97,0.5,0.25,0.0,12.020332449478
93,0.25,0.0,0.0,0.75,0.5,4.02,0.5,0.25,0.0,11.844129423928
94,0.25,0.0,0.0,1.0,0.5,4.15,0.5,0.25,0.0,10.7782187418214
95,0.5,0.0,0.0,1.25,0.5,3.97,0.5,0.25,0.0,12.0411796054479
96,0.25,0.0,0.0,1.5,0.5,3.99,0.5,0.25,0.0,11.3377588594161
97,0.25,0.75,0.0,0.5,0.5,3.96,0.75,0.5,0.0,15.2726825507629
98,0.25,0.0,0.0,2.0,0.5,3.98,0.5,0.25,0.0,10.4279657945234
99,0.25,0.0,0.0,1.75,0.5,3.98,0.5,0.25,0.0,11.2096559338234
100,0.5,0.25,0.0,0.25,1.0,3.78,0.75,0.25,0.25,20.1758993544372
101,1.0,0.0,0.0,0.0,4.0,5.02,0.0,0.0,0.0,38.2410540661404
102,1.0,0.0,0.0,0.0,4.0,5.01,0.0,0.0,0.0,37.1432961384934
103,0.25,0.5,0.0,0.0,1.25,4.4,0.75,0.25,0.25,23.549726719707
104,0.25,0.0,0.0,1.75,0.25,4.48,0.75,0.5,0.25,9.0482468168291
105,0.25,0.5,0.0,0.0,0.75,3.57,0.75,0.5,0.25,54.3612218554
106,0.25,0.0,0.0,1.0,1.0,4.8,0.75,0.5,0.25,13.6495649160909
107,0.25,0.25,0.0,1.0,0.25,4.24,0.75,0.25,0.25,7.01466960116286
108,0.25,0.75,0.0,0.0,1.25,3.58,0.75,0.5,0.0,38.4064367620882
109,1.0,0.0,0.0,0.0,4.0,5.05,0.0,0.0,0.0,37.0417339056042
110,1.0,0.0,0.0,0.0,4.0,4.95,0.0,0.0,0.0,36.305220483263
111,0.25,0.0,0.0,0.0,0.5,3.97,0.5,0.25,0.0,33.0134060418896
112,0.25,0.0,0.0,0.25,0.5,4.02,0.5,0.25,0.0,15.4258892865754
113,0.25,0.0,0.0,0.75,0.5,3.98,0.5,0.25,0.0,11.0243232925655
114,0.25,0.0,0.0,0.5,0.5,3.98,0.5,0.25,0.0,11.9942996181761
115,0.25,0.0,0.0,1.25,0.5,3.98,0.5,0.25,0.0,10.3489981222952
116,0.25,0.0,0.0,1.0,0.5,3.97,0.5,0.25,0.0,10.3328880982716
117,0.25,0.0,0.0,1.5,0.5,3.99,0.5,0.25,0.0,10.1974476243137
118,0.25,0.0,0.0,1.75,0.5,4.0,0.5,0.25,0.0,10.4271316326037
119,0.5,0.0,0.0,1.25,0.75,4.78,0.75,0.25,0.25,15.365152122955
120,0.25,0.5,0.0,0.0,0.25,4.21,0.25,0.75,0.0,43.4817769026055
121,0.25,0.0,0.0,0.5,1.5,4.07,0.75,0.5,0.25,12.4059440769916
122,0.25,0.5,0.0,1.5,0.25,4.41,0.75,0.75,0.0,10.8113058459231
123,0.5,0.25,0.0,0.5,1.0,4.8,0.75,0.5,0.25,17.1033044997998
124,1.0,0.0,0.0,0.0,4.0,5.01,0.0,0.0,0.0,35.6277232861253
125,1.0,0.0,0.0,0.0,4.0,5.01,0.0,0.0,0.0,35.0821908581836
126,0.25,0.75,0.0,0.5,1.0,4.79,0.75,0.5,0.25,10.3115883791164
127,0.25,0.0,0.0,0.75,1.25,4.0,0.75,0.5,0.25,10.6286530117671
128,0.25,0.25,0.0,1.25,0.25,4.61,0.75,0.5,0.25,11.6237994515191
129,0.25,0.0,0.0,1.5,0.5,4.78,0.5,0.5,0.0,13.381688286575
130,0.25,0.0,0.0,2.25,0.5,3.99,0.5,0.25,0.0,9.16426063308301
131,0.25,0.0,0.0,0.0,1.25,4.19,1.0,0.5,0.0,58.7070868717802
132,0.5,0.5,0.0,0.0,0.25,3.97,0.75,0.5,0.5,53.1789042355159
133,0.25,0.5,0.0,0.0,1.25,4.18,0.5,0.5,0.25,39.2158314850086
134,0.25,0.0,0.0,0.25,1.75,4.8,0.75,0.5,0.25,16.5788515587254
135,0.25,0.5,0.0,0.25,0.25,4.22,0.75,0.5,0.0,22.8159735678773
136,0.25,0.5,0.0,0.0,0.5,4.21,0.5,0.5,0.25,53.908987642584
137,0.25,0.0,0.0,0.0,0.75,3.42,0.75,0.5,0.25,61.5330102772824
138,1.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,35.1971036439738
139,1.0,0.0,0.0,0.0,4.0,4.98,0.0,0.0,0.0,34.3368339387272
140,0.25,0.25,0.0,0.0,0.25,3.99,0.75,0.25,0.0,20.635926164426
141,0.25,0.0,0.0,0.0,0.25,4.01,0.75,0.25,0.0,53.0881977399504
142,0.25,0.25,0.0,0.25,0.25,4.0,0.75,0.25,0.0,22.4433079304609
143,0.25,0.0,0.0,0.25,0.25,3.97,0.75,0.25,0.0,17.3543721252357
144,0.25,0.0,0.0,0.5,0.25,4.01,0.75,0.25,0.0,11.4714583293887
145,0.25,0.5,0.0,0.0,0.25,3.97,0.75,0.25,0.0,44.9602983599449
146,0.25,0.25,0.0,0.5,0.25,4.0,0.75,0.25,0.0,12.415381024035
147,0.25,0.5,0.0,0.25,0.25,3.98,0.75,0.25,0.0,19.3323512577142
148,0.25,0.5,0.0,0.5,0.25,4.01,0.75,0.25,0.5,12.4963420601584
149,0.25,0.75,0.0,0.0,0.25,4.01,0.75,0.0,0.0,43.8863891340307
150,0.25,0.75,0.0,0.25,0.25,3.99,0.75,0.25,0.0,23.6575312474946
151,0.25,0.0,0.0,0.75,0.25,3.98,0.75,0.25,0.0,10.6893394985901
152,0.25,0.25,0.0,0.75,0.25,4.0,0.75,0.25,0.0,9.55085377102393
153,1.0,0.0,0.0,0.0,4.0,5.01,0.0,0.0,0.0,36.744152555248
154,1.0,0.0,0.0,0.0,4.0,4.99,0.0,0.0,0.0,36.1045923095505
155,0.25,1.0,0.0,0.25,0.25,3.99,0.75,0.25,0.0,16.1428151550192
